equipment_type,part_category,lead_time,lead_time_variability,supplier_count,supplier_reliability,supplier_dependency,stock_level,safety_stock,reorder_point,demand_rate,demand_variability,failure_rate,MTBF,MTTR,equipment_criticality,part_criticality,transport_delay,customs_delay,historical_stockouts,historical_downtime,riesgo_stockout,downtime_esperado_horas
Jumbo de Perforación,Electrónica y Control ECM,116.8,35.0,1,0.88,1.0,3,1,2,0.23,0.07,0.0223,1074.7,14.7,2,3,16.3,7.6,1,36.9,0,21.7
Jumbo de Perforación,Hidráulica de Alta Presión,162.3,47.0,1,0.692,1.0,7,3,6,0.92,0.27,0.0456,526.7,24.0,2,3,3.3,4.1,1,22.6,0,1.1
Bomba de Desagüe Multietapa,Electrónica y Control ECM,70.5,8.9,2,0.65,0.587,9,3,6,1.6,0.57,0.0348,689.8,34.7,3,3,12.3,2.2,2,91.6,0,2.3
Shovel / Pala,Hidráulica de Alta Presión,93.0,24.8,1,0.724,1.0,7,0,5,2.16,0.99,0.0068,1800.0,15.9,3,3,1.2,1.4,2,121.1,0,1.2
Faja Transportadora,Transmisión y Tren de Potencia,81.4,20.5,2,0.702,0.842,3,1,5,1.94,0.74,0.045,532.8,17.4,3,2,6.0,11.4,2,126.8,0,0.1
Jumbo de Perforación,Electrónica y Control ECM,155.3,43.2,1,0.806,1.0,3,2,9,2.05,0.64,0.0054,1800.0,12.4,2,3,4.4,1.1,2,121.9,0,0.3
Ventilador Axial Principal,Perforación y Rotación,174.9,38.2,1,0.808,1.0,5,3,15,3.04,1.33,0.0482,498.3,25.8,3,2,0.7,6.2,2,95.3,1,85.1
Ventilador Axial Principal,Transmisión y Tren de Potencia,116.3,19.5,2,0.913,0.578,2,0,3,1.24,0.19,0.0124,1800.0,19.9,3,2,0.8,10.6,3,77.2,0,8.2
Jumbo de Perforación,Desagüe y Bombeo de Relaves,81.9,21.8,1,0.725,1.0,3,0,3,1.7,0.72,0.0433,553.9,17.9,2,3,6.0,23.8,3,190.1,0,0.9
Scooptram (LHD),Electrónica y Control ECM,94.2,18.2,1,0.65,1.0,5,1,6,2.26,1.1,0.061,393.6,23.4,2,3,0.6,6.6,2,114.4,1,28.3
Faja Transportadora,Perforación y Rotación,88.2,13.7,2,0.683,0.912,7,2,7,2.29,0.77,0.0294,816.1,19.3,3,2,5.1,0.8,2,64.2,0,11.5
Perforadora Long Hole,Transmisión y Tren de Potencia,78.1,15.8,2,0.881,0.652,3,1,3,1.32,0.21,0.0338,709.5,21.5,2,2,10.9,0.1,2,77.9,0,0.9
Ventilador Axial Principal,Transmisión y Tren de Potencia,106.1,30.9,1,0.77,1.0,7,3,7,1.59,0.51,0.051,470.7,17.7,3,2,1.9,11.0,0,0.0,0,0.1
Bomba de Desagüe Multietapa,Perforación y Rotación,134.5,29.5,1,0.717,1.0,9,3,10,2.31,0.92,0.0305,786.1,18.0,3,2,1.4,14.0,2,76.7,0,0.8
Scooptram (LHD),Hidráulica de Alta Presión,130.6,22.8,2,0.872,0.56,8,0,5,1.75,0.81,0.0509,471.5,13.7,2,3,3.9,0.7,4,70.7,0,1.9
Ventilador Axial Principal,Hidráulica de Alta Presión,109.7,33.8,3,0.903,0.73,4,1,8,2.58,1.18,0.0256,938.1,16.4,3,3,13.1,15.1,3,208.2,0,12.1
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,112.2,36.0,1,0.763,1.0,11,1,5,1.58,0.78,0.0346,693.3,18.8,3,3,0.4,8.5,1,49.6,0,3.4
Ventilador Axial Principal,Desagüe y Bombeo de Relaves,106.9,22.3,2,0.65,0.574,0,1,2,0.28,0.05,0.0121,1800.0,16.6,3,3,10.5,1.4,2,145.9,0,8.6
Faja Transportadora,Hidráulica de Alta Presión,69.9,13.5,3,0.908,0.776,4,3,9,3.56,0.69,0.0233,1031.3,23.6,3,3,0.8,3.6,0,0.0,0,18.0
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,116.3,29.5,1,0.65,1.0,1,2,3,0.2,0.03,0.0116,1800.0,16.9,3,3,2.7,1.6,1,47.3,0,0.7
Jumbo de Perforación,Transmisión y Tren de Potencia,89.7,10.3,1,0.804,1.0,3,1,6,2.24,0.54,0.0293,818.9,15.9,2,2,8.6,11.5,4,244.2,1,43.2
Shovel / Pala,Hidráulica de Alta Presión,68.6,18.7,2,0.709,0.746,1,2,3,0.58,0.29,0.0297,807.7,17.3,3,3,4.2,4.0,2,68.6,0,0.2
Scooptram (LHD),Transmisión y Tren de Potencia,125.2,37.0,1,0.65,1.0,7,0,15,5.17,2.33,0.0497,482.6,15.6,2,2,1.6,3.2,0,0.0,1,41.6
Jumbo de Perforación,Hidráulica de Alta Presión,88.8,17.7,1,0.654,1.0,5,2,6,1.75,0.51,0.0368,652.8,22.3,2,3,0.7,2.0,0,0.0,0,1.9
Jumbo de Perforación,Electrónica y Control ECM,119.1,17.1,1,0.802,1.0,8,3,9,2.12,0.98,0.0073,1800.0,19.6,2,3,5.0,5.9,0,0.0,0,3.9
Jumbo de Perforación,Ventilación y Flujo de Aire,148.0,15.9,1,0.874,1.0,7,3,7,1.3,0.2,0.0144,1665.9,18.1,2,3,8.5,5.5,0,0.0,0,0.2
Shovel / Pala,Transmisión y Tren de Potencia,78.9,20.5,1,0.745,1.0,5,0,6,3.24,1.13,0.0618,388.2,24.8,3,2,3.3,1.2,1,32.6,1,37.7
Ventilador Axial Principal,Hidráulica de Alta Presión,113.6,19.0,2,0.894,0.855,7,2,11,3.5,0.8,0.0359,668.4,17.7,3,3,5.9,9.9,0,0.0,0,0.9
Shovel / Pala,Ventilación y Flujo de Aire,58.4,12.6,3,0.835,0.734,5,3,8,3.35,1.22,0.0588,408.1,17.7,3,3,4.1,7.4,0,0.0,0,10.4
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,188.1,37.0,1,0.779,1.0,2,0,2,0.38,0.18,0.0424,566.0,15.2,3,3,6.3,0.9,0,0.0,1,85.0
Jumbo de Perforación,Ventilación y Flujo de Aire,68.4,9.8,1,0.741,1.0,2,0,1,0.2,0.05,0.0053,1800.0,11.9,2,3,12.6,4.0,2,53.5,0,0.4
Perforadora Long Hole,Desagüe y Bombeo de Relaves,91.9,20.9,2,0.877,0.88,3,2,4,1.09,0.46,0.09,266.7,20.8,2,3,2.4,6.7,1,61.1,0,1.7
Scooptram (LHD),Hidráulica de Alta Presión,175.7,37.8,2,0.957,0.67,4,2,11,2.2,0.67,0.0187,1285.1,11.6,2,3,6.6,3.1,0,0.0,1,80.1
Scooptram (LHD),Perforación y Rotación,101.3,25.9,2,0.916,0.915,5,1,5,1.78,0.68,0.0407,589.9,18.0,2,2,15.6,8.1,1,44.2,0,1.6
Ventilador Axial Principal,Transmisión y Tren de Potencia,72.3,11.8,2,0.693,0.748,8,1,8,4.09,1.47,0.005,1800.0,23.5,3,2,1.3,5.4,3,156.0,0,2.3
Jumbo de Perforación,Hidráulica de Alta Presión,141.2,21.7,3,0.806,0.573,5,1,3,0.67,0.31,0.0286,839.6,15.4,2,3,12.6,19.1,1,68.6,0,4.7
Scooptram (LHD),Desagüe y Bombeo de Relaves,140.1,42.5,1,0.757,1.0,5,0,15,4.66,1.64,0.09,266.7,17.6,2,3,2.7,0.2,2,145.3,1,59.2
Bomba de Desagüe Multietapa,Perforación y Rotación,88.1,24.3,1,0.788,1.0,1,0,3,1.42,0.65,0.026,923.8,16.6,3,2,0.3,1.1,1,36.7,1,51.2
Ventilador Axial Principal,Ventilación y Flujo de Aire,91.5,26.8,1,0.883,1.0,0,0,1,0.45,0.14,0.0331,725.8,19.9,3,3,1.2,3.3,0,0.0,1,63.0
Jumbo de Perforación,Hidráulica de Alta Presión,94.5,12.4,2,0.74,0.812,9,3,7,1.7,0.4,0.0305,785.8,20.1,2,3,11.0,14.3,1,35.6,0,0.8
Faja Transportadora,Hidráulica de Alta Presión,102.3,16.0,3,0.65,0.624,1,0,3,1.25,0.51,0.0153,1566.3,28.3,3,3,4.0,1.4,4,251.5,1,54.7
Bomba de Desagüe Multietapa,Transmisión y Tren de Potencia,56.7,13.8,3,0.851,0.707,10,2,6,3.3,0.91,0.0778,308.6,20.2,3,2,12.5,5.9,2,72.0,0,2.2
Perforadora Long Hole,Perforación y Rotación,103.2,32.4,3,0.65,0.586,3,1,12,4.74,1.89,0.0369,650.4,16.0,2,2,3.8,0.1,0,0.0,1,29.0
Scooptram (LHD),Hidráulica de Alta Presión,205.4,66.3,1,0.727,1.0,8,1,12,2.2,0.49,0.0131,1800.0,16.4,2,3,0.0,0.5,1,40.2,1,54.7
Ventilador Axial Principal,Desagüe y Bombeo de Relaves,80.4,24.8,2,0.9,0.551,7,0,7,3.67,0.69,0.042,571.5,20.1,3,3,5.9,4.8,0,0.0,0,9.2
Perforadora Long Hole,Transmisión y Tren de Potencia,89.7,9.9,1,0.767,1.0,8,2,10,3.63,1.04,0.0495,485.2,14.9,2,2,3.0,4.9,3,52.0,1,41.2
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,72.7,22.2,3,0.685,0.832,3,1,3,1.27,0.46,0.0149,1610.4,18.3,3,3,0.4,4.4,3,163.4,0,5.6
Bomba de Desagüe Multietapa,Perforación y Rotación,136.3,44.3,1,0.653,1.0,7,0,15,4.77,2.13,0.09,266.7,17.6,3,2,1.5,22.2,0,0.0,1,83.0
Jumbo de Perforación,Transmisión y Tren de Potencia,167.6,19.1,1,0.77,1.0,1,0,1,0.32,0.07,0.0328,732.4,10.4,2,2,0.8,3.9,4,243.4,1,58.1
Scooptram (LHD),Transmisión y Tren de Potencia,166.3,33.9,2,0.911,0.792,3,0,3,0.76,0.23,0.037,648.7,17.5,2,2,3.0,0.6,1,62.2,0,3.9
Ventilador Axial Principal,Desagüe y Bombeo de Relaves,71.1,16.6,2,0.697,0.715,3,3,9,3.64,1.35,0.0324,740.7,20.8,3,3,1.8,0.7,4,85.8,0,6.7
Jumbo de Perforación,Electrónica y Control ECM,131.0,20.7,2,0.918,0.602,6,3,9,2.09,0.63,0.0578,415.5,16.5,2,3,1.2,2.0,4,73.2,0,0.0
Perforadora Long Hole,Ventilación y Flujo de Aire,181.7,41.6,1,0.793,1.0,4,1,6,1.28,0.35,0.0297,807.4,15.9,2,3,5.2,2.2,1,72.7,0,3.7
Scooptram (LHD),Electrónica y Control ECM,131.5,42.3,3,0.969,0.624,8,1,8,2.28,0.83,0.0302,794.1,21.2,2,3,14.6,8.3,2,109.0,0,1.2
Faja Transportadora,Hidráulica de Alta Presión,130.1,41.2,2,0.904,0.552,5,1,8,2.21,0.38,0.09,266.7,19.0,3,3,16.2,3.7,0,0.0,1,85.9
Faja Transportadora,Desagüe y Bombeo de Relaves,93.3,31.2,2,0.91,0.686,8,1,7,2.54,1.07,0.0394,608.6,18.5,3,3,2.3,4.1,1,24.8,0,0.2
Scooptram (LHD),Hidráulica de Alta Presión,118.8,26.3,2,0.776,0.884,7,3,10,2.68,0.59,0.045,533.4,15.5,2,3,1.5,26.0,2,88.0,0,0.9
Jumbo de Perforación,Perforación y Rotación,169.6,34.4,2,0.953,0.727,7,2,16,3.53,1.45,0.0773,310.3,29.5,2,2,4.9,11.5,2,58.0,1,63.4
Compresor Estacionario,Hidráulica de Alta Presión,123.4,32.9,1,0.671,1.0,1,2,12,3.45,1.56,0.0197,1220.4,9.3,1,3,2.3,0.9,3,191.6,1,24.7
Faja Transportadora,Ventilación y Flujo de Aire,71.1,14.5,1,0.65,1.0,6,1,4,1.69,0.63,0.0674,356.1,18.0,3,3,8.2,21.9,0,0.0,0,8.0
Jumbo de Perforación,Transmisión y Tren de Potencia,93.8,10.4,2,0.979,0.717,7,1,8,3.34,0.96,0.0216,1108.5,17.5,2,2,2.5,14.4,1,71.0,0,2.8
Jumbo de Perforación,Transmisión y Tren de Potencia,168.0,47.0,2,0.969,0.766,5,1,7,1.47,0.29,0.0391,613.4,17.6,2,2,4.2,1.3,2,136.3,0,2.6
Ventilador Axial Principal,Transmisión y Tren de Potencia,123.2,21.0,1,0.739,1.0,4,0,4,1.49,0.71,0.0225,1067.3,20.8,3,2,22.1,4.4,1,39.0,0,1.7
Bomba de Desagüe Multietapa,Ventilación y Flujo de Aire,114.7,12.9,1,0.692,1.0,8,1,8,2.63,0.45,0.0319,753.2,11.6,3,3,0.7,6.8,2,94.5,0,1.3
Jumbo de Perforación,Electrónica y Control ECM,90.6,9.5,2,0.758,0.766,3,3,5,0.8,0.38,0.0523,458.6,25.8,2,3,1.9,8.3,2,99.7,0,0.5
Shovel / Pala,Perforación y Rotación,166.7,55.5,1,0.65,1.0,10,2,7,1.25,0.43,0.0107,1800.0,8.0,3,2,0.4,5.0,2,83.9,0,14.0
Scooptram (LHD),Transmisión y Tren de Potencia,196.8,32.1,1,0.693,1.0,1,1,4,0.6,0.17,0.0379,633.7,19.6,2,2,15.7,0.6,2,107.8,1,79.4
Scooptram (LHD),Ventilación y Flujo de Aire,171.2,36.3,3,0.945,0.589,8,0,5,1.19,0.3,0.017,1409.6,25.5,2,3,3.4,9.9,1,19.8,0,4.4
Jumbo de Perforación,Desagüe y Bombeo de Relaves,182.3,61.5,1,0.877,1.0,5,1,19,4.29,1.12,0.0355,676.5,22.7,2,3,2.0,0.5,2,111.9,1,55.0
Jumbo de Perforación,Hidráulica de Alta Presión,97.0,21.0,1,0.727,1.0,4,3,4,0.27,0.1,0.0251,957.9,10.0,2,3,13.2,13.5,1,17.8,0,2.3
Jumbo de Perforación,Transmisión y Tren de Potencia,92.3,11.0,1,0.763,1.0,1,0,3,1.55,0.43,0.0229,1046.3,22.2,2,2,2.9,3.0,1,73.0,1,36.2
Ventilador Axial Principal,Transmisión y Tren de Potencia,104.1,24.8,1,0.864,1.0,7,0,10,4.02,1.29,0.0438,548.1,19.1,3,2,0.0,3.8,1,52.7,1,39.2
Jumbo de Perforación,Transmisión y Tren de Potencia,111.5,13.6,1,0.65,1.0,1,0,1,0.53,0.13,0.0232,1034.8,19.0,2,2,4.1,5.8,2,108.0,1,63.5
Scooptram (LHD),Transmisión y Tren de Potencia,181.5,22.5,3,0.903,0.796,1,0,3,0.82,0.36,0.09,266.7,15.4,2,2,0.5,0.0,2,74.2,1,61.1
Jumbo de Perforación,Ventilación y Flujo de Aire,165.4,51.8,2,0.9,0.833,3,1,3,0.56,0.14,0.0531,452.1,19.2,2,3,20.9,0.8,3,72.0,0,3.3
Faja Transportadora,Hidráulica de Alta Presión,132.8,22.9,1,0.686,1.0,3,2,4,0.63,0.31,0.0283,849.4,18.6,3,3,12.0,16.2,2,135.6,0,1.0
Jumbo de Perforación,Ventilación y Flujo de Aire,66.7,18.0,1,0.7,1.0,0,1,2,0.34,0.07,0.0164,1466.8,8.0,2,3,6.9,0.5,4,113.5,0,0.1
Jumbo de Perforación,Perforación y Rotación,60.9,13.8,2,0.915,0.869,4,1,3,1.6,0.76,0.0324,740.5,16.4,2,2,5.0,9.9,0,0.0,0,5.7
Bomba de Desagüe Multietapa,Electrónica y Control ECM,119.7,18.6,1,0.712,1.0,6,1,8,2.48,1.0,0.0229,1046.3,20.9,3,3,0.2,9.3,2,124.5,1,70.2
Faja Transportadora,Electrónica y Control ECM,149.7,34.3,3,0.939,0.855,6,3,17,4.14,2.06,0.0654,367.2,15.1,3,3,1.3,0.4,0,0.0,1,64.2
Scooptram (LHD),Hidráulica de Alta Presión,107.0,12.5,1,0.65,1.0,3,2,3,0.22,0.07,0.0134,1795.1,16.6,2,3,2.7,2.6,1,74.4,0,6.4
Bomba de Desagüe Multietapa,Desagüe y Bombeo de Relaves,215.0,40.2,2,0.9,0.818,4,2,18,3.13,0.81,0.0129,1800.0,21.3,3,3,7.5,1.4,1,49.8,1,106.7
Bomba de Desagüe Multietapa,Transmisión y Tren de Potencia,75.3,17.4,2,0.92,0.909,0,0,3,1.49,0.29,0.0253,949.0,26.4,3,2,0.8,12.0,2,90.4,1,59.1
Bomba de Desagüe Multietapa,Electrónica y Control ECM,72.1,11.3,2,0.8,0.665,2,2,5,1.74,0.52,0.0474,505.8,16.6,3,3,7.0,11.0,0,0.0,0,2.1
Scooptram (LHD),Perforación y Rotación,87.2,23.1,1,0.65,1.0,4,0,6,2.93,1.08,0.0393,610.8,15.3,2,2,4.6,5.0,0,0.0,0,4.2
Bomba de Desagüe Multietapa,Electrónica y Control ECM,86.0,9.7,2,0.951,0.683,5,0,4,2.16,0.42,0.0167,1434.6,20.9,3,3,3.4,22.4,3,133.6,0,6.4
Scooptram (LHD),Ventilación y Flujo de Aire,132.2,29.3,1,0.65,1.0,0,0,1,0.2,0.05,0.005,1800.0,11.5,2,3,12.7,12.7,1,60.3,0,0.3
Bomba de Desagüe Multietapa,Transmisión y Tren de Potencia,94.9,26.5,2,0.757,0.631,1,1,4,1.48,0.25,0.0299,802.4,17.2,3,2,5.4,2.1,3,109.3,1,63.6
Shovel / Pala,Hidráulica de Alta Presión,64.0,13.3,2,0.943,0.708,9,1,6,3.35,0.73,0.0155,1549.0,29.0,3,3,1.6,1.2,1,62.7,0,5.5
Scooptram (LHD),Desagüe y Bombeo de Relaves,150.3,47.9,1,0.65,1.0,3,2,8,1.71,0.44,0.0392,612.2,8.0,2,3,3.2,7.3,1,69.8,1,54.8
Perforadora Long Hole,Hidráulica de Alta Presión,59.4,15.3,2,0.934,0.678,1,0,1,0.25,0.11,0.0233,1030.4,15.1,2,3,5.4,15.0,1,31.5,0,2.1
Scooptram (LHD),Ventilación y Flujo de Aire,75.6,25.7,1,0.752,1.0,4,1,4,1.85,0.55,0.0488,491.4,12.1,2,3,0.5,10.4,3,161.4,0,1.9
Perforadora Long Hole,Hidráulica de Alta Presión,62.3,10.7,1,0.76,1.0,10,1,7,4.17,0.7,0.0572,419.4,13.9,2,3,0.8,1.1,0,0.0,0,9.4
Ventilador Axial Principal,Desagüe y Bombeo de Relaves,118.3,39.6,1,0.914,1.0,1,1,2,0.2,0.05,0.0081,1800.0,27.9,3,3,13.1,5.4,4,96.8,0,2.5
Scooptram (LHD),Hidráulica de Alta Presión,117.4,29.6,1,0.697,1.0,12,3,9,2.3,0.38,0.0155,1547.6,15.3,2,3,1.6,7.6,0,0.0,0,4.0
Scooptram (LHD),Electrónica y Control ECM,215.1,61.6,3,0.805,0.885,2,1,2,0.2,0.08,0.0078,1800.0,17.5,2,3,2.2,23.0,2,80.3,0,0.7
Faja Transportadora,Electrónica y Control ECM,151.5,49.3,1,0.824,1.0,12,0,9,2.48,1.05,0.0297,806.8,19.1,3,3,0.6,5.1,4,161.7,0,3.1
Scooptram (LHD),Transmisión y Tren de Potencia,182.2,43.3,2,0.846,0.648,9,1,7,1.47,0.67,0.0435,552.0,19.5,2,2,1.1,3.3,1,36.1,0,4.2
Scooptram (LHD),Transmisión y Tren de Potencia,121.7,38.4,3,0.858,0.778,0,2,3,0.4,0.09,0.0244,982.2,17.5,2,2,0.5,2.2,1,73.2,0,6.5
Jumbo de Perforación,Transmisión y Tren de Potencia,78.1,18.4,1,0.65,1.0,5,1,11,5.64,1.3,0.0405,592.0,24.2,2,2,7.1,7.5,0,0.0,1,46.2
Bomba de Desagüe Multietapa,Transmisión y Tren de Potencia,115.0,28.7,1,0.827,1.0,2,1,4,1.17,0.28,0.0641,374.3,10.2,3,2,4.0,12.4,1,70.6,1,68.8
Ventilador Axial Principal,Transmisión y Tren de Potencia,135.3,28.6,1,0.828,1.0,8,1,7,1.87,0.53,0.0418,574.2,14.2,3,2,1.8,6.3,2,47.8,0,11.4
Scooptram (LHD),Transmisión y Tren de Potencia,140.7,19.2,3,0.951,0.573,7,0,11,3.34,0.91,0.0699,343.3,9.6,2,2,1.5,17.2,0,0.0,1,73.3
Jumbo de Perforación,Electrónica y Control ECM,93.2,22.2,2,0.969,0.605,2,0,1,0.61,0.28,0.0335,716.5,15.4,2,3,0.2,8.5,1,54.7,0,2.9
Scooptram (LHD),Hidráulica de Alta Presión,130.5,44.9,1,0.794,1.0,3,0,4,1.19,0.37,0.0112,1800.0,15.9,2,3,4.2,3.4,0,0.0,1,47.6
Scooptram (LHD),Perforación y Rotación,79.4,23.6,1,0.803,1.0,6,1,5,2.29,0.88,0.0627,383.0,18.4,2,2,1.2,2.8,0,0.0,0,1.1
Jumbo de Perforación,Electrónica y Control ECM,76.4,21.9,3,0.838,0.729,7,1,9,4.31,1.21,0.0569,421.9,19.8,2,3,1.1,15.9,1,69.1,0,6.0
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,74.4,19.4,2,0.932,0.887,2,0,5,3.07,1.4,0.0824,291.1,16.8,3,3,8.6,4.2,3,98.6,1,57.2
Scooptram (LHD),Transmisión y Tren de Potencia,111.0,20.7,2,0.838,0.565,5,0,6,2.42,0.4,0.0388,618.2,15.6,2,2,0.5,4.9,0,0.0,1,51.2
Jumbo de Perforación,Desagüe y Bombeo de Relaves,72.8,10.4,2,0.861,0.852,5,1,4,1.84,0.28,0.0512,469.1,18.1,2,3,6.0,3.6,2,51.6,0,0.0
Jumbo de Perforación,Hidráulica de Alta Presión,94.8,14.8,2,0.799,0.73,4,1,6,2.23,0.34,0.0134,1791.1,24.9,2,3,1.4,8.2,2,97.8,0,5.8
Faja Transportadora,Ventilación y Flujo de Aire,150.9,15.3,3,0.734,0.607,4,3,11,2.15,0.7,0.0847,283.2,15.8,3,3,5.8,16.4,3,106.0,1,102.6
Faja Transportadora,Electrónica y Control ECM,76.7,20.6,2,0.816,0.636,2,1,3,1.01,0.44,0.0652,367.9,19.2,3,3,0.5,14.0,1,55.5,0,0.7
Perforadora Long Hole,Hidráulica de Alta Presión,92.2,27.9,3,0.935,0.917,0,2,3,0.57,0.16,0.0253,948.7,22.1,2,3,3.8,4.6,4,123.0,0,3.0
Scooptram (LHD),Desagüe y Bombeo de Relaves,112.8,18.9,2,0.896,0.679,4,1,3,0.78,0.38,0.064,375.0,16.8,2,3,3.0,6.3,1,66.6,0,2.9
Scooptram (LHD),Transmisión y Tren de Potencia,119.9,14.7,1,0.849,1.0,13,2,9,2.45,0.67,0.0193,1240.2,9.7,2,2,3.1,1.7,1,41.4,0,3.1
Jumbo de Perforación,Transmisión y Tren de Potencia,92.4,17.0,1,0.881,1.0,2,0,7,3.31,0.58,0.0235,1022.9,17.1,2,2,1.2,0.3,1,58.5,1,38.9
Jumbo de Perforación,Desagüe y Bombeo de Relaves,144.9,25.1,3,0.949,0.621,2,1,4,0.81,0.31,0.0738,325.2,18.1,2,3,0.7,10.6,1,16.0,0,3.1
Ventilador Axial Principal,Electrónica y Control ECM,135.3,28.8,1,0.759,1.0,5,2,15,4.16,1.26,0.09,266.7,15.1,3,3,8.3,10.1,1,15.3,1,89.5
Shovel / Pala,Perforación y Rotación,163.9,27.2,2,0.874,0.681,2,2,3,0.34,0.08,0.0149,1605.4,15.4,3,2,0.9,17.0,0,0.0,0,0.8
Perforadora Long Hole,Electrónica y Control ECM,106.9,19.8,2,0.894,0.779,4,3,4,0.34,0.09,0.0196,1227.4,27.0,2,3,2.9,0.1,2,75.7,0,1.2
Perforadora Long Hole,Ventilación y Flujo de Aire,91.9,30.0,1,0.65,1.0,3,0,2,0.97,0.44,0.09,266.7,18.3,2,3,0.2,6.6,0,0.0,1,45.8
Jumbo de Perforación,Desagüe y Bombeo de Relaves,86.6,15.9,1,0.743,1.0,3,1,4,1.61,0.64,0.0266,903.1,12.5,2,3,1.0,3.9,1,44.1,0,1.6
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,122.5,36.3,1,0.741,1.0,3,1,10,3.11,0.61,0.005,1800.0,24.1,3,3,0.7,3.7,2,96.9,1,76.8
Jumbo de Perforación,Desagüe y Bombeo de Relaves,96.4,24.7,1,0.794,1.0,2,1,8,3.02,1.02,0.0486,493.6,17.0,2,3,5.9,4.4,2,94.9,1,50.2
Scooptram (LHD),Electrónica y Control ECM,90.1,16.6,2,0.886,0.675,2,1,3,1.08,0.34,0.0063,1800.0,15.7,2,3,7.3,29.1,3,155.9,0,2.5
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,94.0,28.6,1,0.705,1.0,4,2,7,2.5,0.89,0.0232,1034.8,23.3,3,3,10.0,0.9,3,175.0,0,1.6
Scooptram (LHD),Electrónica y Control ECM,86.6,21.5,3,0.84,0.596,4,1,4,1.31,0.5,0.0742,323.3,11.2,2,3,0.2,2.6,1,60.4,1,45.3
Jumbo de Perforación,Hidráulica de Alta Presión,117.9,12.0,1,0.668,1.0,1,2,5,1.25,0.29,0.0122,1800.0,16.0,2,3,10.6,13.2,3,216.6,0,1.6
Jumbo de Perforación,Ventilación y Flujo de Aire,67.1,7.9,2,0.818,0.902,4,3,7,2.74,0.99,0.0526,456.3,22.1,2,3,2.0,2.5,3,166.5,0,1.9
Bomba de Desagüe Multietapa,Electrónica y Control ECM,122.3,35.2,1,0.795,1.0,10,2,8,2.16,0.72,0.079,303.7,14.9,3,3,11.7,2.7,1,55.3,1,87.7
Shovel / Pala,Perforación y Rotación,139.4,29.5,2,0.953,0.734,8,3,7,1.3,0.32,0.0286,838.0,22.7,3,2,2.7,3.7,0,0.0,0,6.6
Jumbo de Perforación,Hidráulica de Alta Presión,89.8,18.1,1,0.664,1.0,2,0,1,0.64,0.2,0.0497,483.2,10.6,2,3,0.1,10.5,4,272.6,0,0.2
Perforadora Long Hole,Electrónica y Control ECM,215.6,29.4,1,0.812,1.0,1,1,5,0.81,0.35,0.0601,399.4,30.8,2,3,3.5,15.9,4,96.3,1,79.6
Jumbo de Perforación,Hidráulica de Alta Presión,110.7,15.4,2,0.91,0.769,2,2,3,0.44,0.18,0.0363,661.3,21.7,2,3,4.5,0.2,1,56.0,0,1.0
Jumbo de Perforación,Electrónica y Control ECM,63.7,19.1,3,0.67,0.859,3,1,3,1.06,0.17,0.005,1800.0,5.5,2,3,4.6,2.5,1,55.1,0,7.4
Shovel / Pala,Ventilación y Flujo de Aire,99.7,30.6,1,0.822,1.0,3,1,2,0.41,0.11,0.026,922.0,24.6,3,3,13.7,2.9,0,0.0,0,1.4
Bomba de Desagüe Multietapa,Ventilación y Flujo de Aire,112.4,27.0,1,0.65,1.0,6,1,16,5.81,1.08,0.0441,544.5,26.7,3,3,2.8,3.9,1,41.9,1,53.9
Faja Transportadora,Desagüe y Bombeo de Relaves,128.7,22.4,2,0.84,0.868,6,2,10,2.67,1.15,0.0701,342.6,19.7,3,3,3.3,1.9,2,84.2,1,70.2
Scooptram (LHD),Desagüe y Bombeo de Relaves,100.5,33.5,3,0.863,0.913,3,1,4,1.47,0.37,0.042,571.5,26.9,2,3,28.2,1.6,0,0.0,0,3.6
Bomba de Desagüe Multietapa,Hidráulica de Alta Presión,77.2,19.8,1,0.927,1.0,14,1,8,3.67,1.37,0.0701,342.3,21.7,3,3,0.1,13.6,1,22.8,0,13.1
Bomba de Desagüe Multietapa,Transmisión y Tren de Potencia,75.0,22.4,1,0.927,1.0,6,3,9,3.52,0.72,0.0262,914.8,16.6,3,2,4.9,5.5,1,33.1,0,3.0
Compresor Estacionario,Ventilación y Flujo de Aire,87.5,8.8,1,0.66,1.0,3,1,4,1.63,0.58,0.0284,845.9,15.2,1,3,5.9,1.2,1,34.8,0,0.2
Scooptram (LHD),Transmisión y Tren de Potencia,90.5,19.2,1,0.888,1.0,5,3,9,2.72,0.88,0.0831,288.8,26.9,2,2,4.5,2.7,1,53.7,1,28.0
Shovel / Pala,Hidráulica de Alta Presión,73.9,23.5,1,0.848,1.0,3,3,5,1.11,0.19,0.007,1800.0,18.7,3,3,3.6,4.7,1,70.1,0,0.8
Ventilador Axial Principal,Electrónica y Control ECM,85.1,15.7,1,0.753,1.0,3,0,6,2.87,0.51,0.09,266.7,14.6,3,3,2.2,0.5,1,34.0,1,44.4
